id,date,matchweek,home_team_id,away_team_id,home_team_score,away_team_score,attendance,youtube_id
314,12/23/2023,18,16,3,2,3,"29,188",EDrFNC9jkQE
315,12/26/2023,19,3,10,3,0,"11,099",ykIxRpiHGP4
316,2/4/2024,23,3,16,1,1,"11,200",dG_UTjUglCI
317,2/10/2024,24,10,3,3,1,"24,271",STkhWUEn58s
318,3/3/2024,27,6,3,0,2,"19,713",4bFUllevUrM
319,3/9/2024,28,3,17,2,2,"11,074",ctcHFXcrkmo
320,3/13/2024,17,3,12,4,3,"11,198",ebTHppwvC-A
321,3/30/2024,30,3,9,2,1,"11,207",8sTkL2e9yzY
322,4/6/2024,32,12,3,2,1,"11,797",nB3g_4NFAT0
323,4/24/2024,29,20,3,0,1,"25,541",Fk_aWIULBg0
324,5/11/2024,37,3,4,1,2,"11,154",hSuCE6gieNI
325,8/12/2023,1,9,10,0,1,"39,940",dJXBHfmllwo
326,8/19/2023,2,10,4,0,3,"24,236",pYOAmvFQI3Q
327,9/16/2023,5,10,12,1,0,"24,467",wOWm18wcky4
328,10/7/2023,8,10,17,3,1,"24,361",8Tq12jMd1_Q
329,11/27/2023,13,10,20,3,2,"24,366",3i9NREkojV4
330,12/6/2023,15,10,16,5,0,"24,105",8Tq12jMd1_Q
331,12/23/2023,18,10,6,0,2,"23,598",-_VVlfWjVBA
332,1/30/2024,22,10,9,0,0,"24,376",vk93jqjH8GY
333,2/3/2024,23,6,10,2,2,"20,203",F1XvKHx4OmE
334,3/9/2024,28,20,10,2,1,"30,860",ctcHFXcrkmo
335,3/30/2024,30,17,10,3,3,"30,010",4abi087DzEQ
336,4/2/2024,31,16,10,3,1,"28,997",PAgC-QvcfvE
337,5/4/2024,36,4,10,0,0,"17,090",2WYLdQVaHQM
338,5/19/2024,38,12,10,2,4,"12,027",kQ0uweOWaQg
339,8/26/2023,3,9,20,0,1,"38,851",eq5uBEUOo6k
340,9/23/2023,6,12,20,1,1,"10,893",WJgv3EB_5XA
