id,player_name,team_id,age,position,nationality,height,weight,jersey_number
580,Jake Burger,12,19,Midfielder,England,0,0,0
581,Jayden Luker,12,18,Midfielder,England,0,0,47
582,Jordan Clark,12,30,Midfielder,England,183,71,18
583,Luke Berry,12,31,Midfielder,England,177,72,8
584,Marvelous Nakamba,12,29,Midfielder,Zimbabwe,178,71,13
585,Pelly Mpanzu,12,29,Midfielder,Congo (Kinshasa),175,63,17
586,Ross Barkley,12,30,Midfielder,England,189,76,6
587,Ryan Giles,12,23,Midfielder,England,179,72,26
588,Tahith Chong,12,24,Midfielder,Netherlands,185,75,14
589,Zack Nelson,12,18,Midfielder,England,0,0,43
590,Carlton Morris,12,28,Forward,England,185,85,9
591,Cauley Woodrow,12,29,Forward,England,184,78,10
592,Chiedozie Ogbene,12,26,Forward,Ireland,181,78,7
593,Elijah Adebayo,12,25,Forward,England,193,89,11
594,Jacob Brown,12,25,Forward,Scotland,178,62,19
595,Arijanet Muric,6,25,Goalkeeper,Kosovo,198,81,49
596,Denis Franchi,6,21,Goalkeeper,Italy,189,81,20
597,James Trafford,6,21,Goalkeeper,England,197,83,1
598,Lawrence Vigouroux,6,30,Goalkeeper,Chile,194,77,29
599,Ameen Al Dakhil,6,21,Defender,Belgium,187,70,28
600,Charlie Taylor,6,30,Defender,England,176,70,3
601,Connor Roberts,6,28,Defender,Wales,175,72,14
602,Conrad Egan-Riley,6,21,Defender,England,183,0,6
603,Dara O'Shea,6,24,Defender,Ireland,188,0,2
604,Hannes Delcroix,6,24,Defender,Belgium,185,78,44
605,Hjalmar Ekdal,6,25,Defender,Sweden,188,77,18
606,Jordan Beyer,6,23,Defender,Germany,187,80,5
607,Owen Dodgson,6,20,Defender,England,0,0,29
608,Vitinho,6,24,Defender,Brazil,175,72,22
609,Aaron Ramsey,6,20,Midfielder,England,181,0,21
610,Han Massengo,6,22,Midfielder,France,178,0,42
611,Jack Cork,6,34,Midfielder,England,183,70,4
612,Josh Brownhill,6,28,Midfielder,England,180,69,8
613,Joshua Cullen,6,27,Midfielder,Ireland,175,70,24
614,Johann Gudmundsson,6,33,Midfielder,Iceland,186,78,7
615,Nathan Redmond,6,29,Midfielder,England,173,69,15
616,Sander Berge,6,25,Midfielder,Norway,195,96,16
617,Anass Zaroury,6,23,Forward,Morocco,176,70,19
618,Benson Manuel,6,26,Forward,Belgium,178,68,10
619,Darko Churlinov,6,23,Forward,North Macedonia,171,73,27
620,Enock Agyei,6,18,Forward,Belgium,172,0,48
621,Jacob Bruun Larsen,6,25,Forward,Denmark,183,77,34
622,Jay Rodriguez,6,34,Forward,England,185,84,9
623,Luca Koleosho,6,19,Forward,Italy,175,68,30
624,Lyle Foster,6,23,Forward,South Africa,185,70,17
625,Michael Obafemi,6,23,Forward,Ireland,169,71,45
626,Mike Tresor,6,24,Forward,Belgium,172,64,31
627,Wilson Odobert,6,19,Forward,France,182,0,47
628,Zeki Amdouni,6,23,Forward,Switzerland,185,79,25
629,Adam Davies,17,31,Goalkeeper,Wales,185,75,1
630,Jordan Amissah,17,22,Goalkeeper,Ghana,197,0,37
631,Wes Foderingham,17,32,Goalkeeper,England,185,75,18
632,Anel Ahmedhodzic,17,24,Defender,Bosnia and Herzegovina,195,84,15
633,Auston Trusty,17,25,Defender,United States of America,191,84,5
634,Chris Basham,17,35,Defender,England,190,80,6
635,Ciaran Brennan,17,23,Defender,Ireland,189,0,0
636,Femi Seriki,17,21,Defender,England,183,0,38
637,George Baldock,17,30,Defender,Greece,178,71,2
638,Jack Robinson,17,30,Defender,England,180,67,19
639,Jayden Bogle,17,23,Defender,England,178,69,20
640,Jili Buyabu,17,20,Defender,England,182,0,40
641,John Egan,17,31,Defender,Ireland,185,75,12
642,Luke Thomas,17,22,Defender,England,181,0,0
643,Max Lowe,17,26,Defender,England,175,74,3
644,Rhys Norrington-Davies,17,24,Defender,Wales,181,68,33
645,Sai Sachdev,17,18,Defender,England,0,0,39
